iter	Passed	Remaining
253	9489	27871
254	9530	27845
255	9574	27824
256	9623	27822
257	9668	27804
258	9712	27786
259	9755	27765
260	9796	27736
261	9839	27715
262	9883	27696
263	9927	27677
264	9972	27659
265	10016	27639
266	10062	27625
267	10107	27606
268	10150	27584
269	10197	27570
270	10240	27548
271	10288	27535
272	10333	27518
273	10376	27492
274	10417	27465
275	10459	27436
276	10503	27416
277	10544	27386
278	10589	27364
279	10630	27334
280	10671	27305
281	10715	27282
282	10756	27252
283	10799	27227
284	10839	27194
285	10881	27164
286	10923	27136
287	10961	27099
288	11003	27070
289	11048	27048
290	11093	27029
291	11138	27006
292	11181	26981
293	11223	26951
294	11269	26932
295	11311	26902
296	11355	26879
297	11399	26852
298	11440	26821
299	11477	26779
300	11511	26731
301	11547	26690
302	11586	26652
303	11626	26617
304	11667	26587
305	11708	26555
306	11752	26529
307	11795	26502
308	11889	26588
309	11973	26650
310	12044	26683
311	12122	26731
312	12195	26767
313	12405	27103
314	12472	27122
315	12621	27320
316	12699	27363
317	12753	27352
318	13008	27770
319	13078	27791
320	13344	28226
321	13540	28510
322	13617	28542
323	13741	28671
324	14130	29347
325	14352	29673
326	14627	30104
327	14703	30125
328	14756	30095
329	14922	30296
330	15008	30333
331	15244	30672
332	15430	30907
333	15572	31050
334	15644	31054
335	15795	31214
336	15862	31206
337	16141	31614
338	16315	31813
339	16596	32216
340	16756	32382
341	16848	32415
342	16899	32370
343	17068	32548
344	17121	32506
345	17291	32683
346	17351	32653
347	17524	32833
348	17648	32919
349	17793	33045
350	17937	33166
351	18011	33158
352	18063	33108
353	18210	33230
354	18353	33347
355	18422	33326
356	18475	33276
357	19013	34097
358	19263	34395
359	19460	34596
360	19562	34627
361	19686	34695
362	19746	34652
363	19896	34763
364	19963	34730
365	20014	34670
366	20169	34788
367	20332	34919
368	20385	34860
369	20552	34994
370	20610	34943
371	20769	35063
372	20829	35013
373	20879	34948
374	21027	35045
375	21082	34988
376	21285	35175
377	21333	35103
378	21374	35023
379	21418	34946
380	21459	34864
381	21500	34784
382	21540	34700
383	21588	34630
384	21627	34547
385	21665	34463
386	21704	34380
387	21742	34294
388	21779	34209
389	21817	34124
390	21854	34038
391	21888	33948
392	21927	33867
393	21966	33785
394	22004	33703
395	22046	33626
396	22086	33547
397	22124	33465
398	22163	33383
399	22204	33307
400	22244	33228
401	22283	33148
402	22322	33067
403	22361	32988
404	22400	32909
405	22439	32830
406	22475	32746
407	22515	32669
408	22555	32592
409	22593	32512
410	22634	32437
411	22676	32363
412	22714	32284
413	22757	32212
414	22797	32136
415	22837	32060
416	22879	31987
417	22921	31914
418	22964	31842
419	23007	31772
420	23052	31704
421	23097	31636
422	23143	31569
423	23185	31497
424	23229	31428
425	23270	31354
426	23316	31288
427	23356	31215
428	23398	31143
429	23437	31067
430	23479	30997
431	23521	30925
432	23560	30851
433	23603	30782
434	23650	30719
435	23698	30656
436	23746	30592
437	23795	30531
438	23838	30463
439	23882	30395
440	23926	30329
441	23968	30259
442	24016	30196
443	24060	30130
444	24103	30061
445	24146	29993
446	24191	29928
447	24240	29867
448	24285	29802
449	24331	29738
450	24375	29672
451	24418	29604
452	24462	29538
453	24504	29470
454	24543	29398
455	24591	29336
456	24639	29276
457	24686	29213
458	24735	29154
459	24782	29092
460	24831	29032
461	24879	28972
462	24925	28909
463	24972	28847
464	25015	28781
465	25058	28715
466	25102	28649
467	25146	28585
468	25189	28519
469	25233	28454
470	25277	28390
471	25321	28326
472	25366	28261
473	25413	28201
474	25457	28137
475	25503	28074
476	25554	28019
477	25599	27956
478	25646	27895
479	25695	27836
480	25744	27778
481	25790	27716
482	25836	27655
483	25884	27595
484	25927	27531
485	25972	27468
486	26015	27403
487	26059	27341
488	26101	27275
489	26142	27209
490	26185	27145
491	26226	27079
492	26270	27016
493	26313	26952
494	26356	26888
495	26395	26820
496	26441	26761
497	26493	26706
498	26538	26644
499	26583	26583
500	26628	26521
501	26671	26459
502	26715	26397
503	26759	26334
504	26801	26270
505	26845	26208
506	26890	26147
507	26933	26085
508	26974	26020
509	27019	25959
510	27062	25897
511	27106	25835
512	27148	25772
513	27190	25709
514	27232	25646
515	27276	25584
516	27317	25521
517	27356	25455
518	27395	25389
519	27436	25326
520	27478	25263
521	27530	25209
522	27560	25136
523	27588	25061
524	27616	24985
525	27642	24910
526	27667	24832
527	27695	24758
528	27740	24699
529	27774	24630
530	27809	24562
531	27834	24486
532	27872	24421
533	27910	24356
534	27958	24300
535	28006	24244
536	28050	24184
537	28096	24127
538	28139	24067
539	28178	24003
540	28218	23941
541	28249	23871
542	28279	23800
543	28310	23730
544	28342	23662
545	28373	23592
546	28405	23524
547	28436	23454
548	28468	23386
549	28501	23319
550	28531	23249
551	28564	23182
552	28593	23112
553	28615	23037
554	28645	22968
555	28681	22903
556	28714	22837
557	28747	22771
558	28779	22704
559	28812	22638
560	28845	22572
561	28879	22507
562	28912	22442
563	28947	22377
564	28980	22312
565	29014	22248
566	29047	22182
567	29079	22116
568	29110	22050
569	29144	21985
570	29173	21918
571	29209	21856
572	29245	21793
573	29281	21731
574	29309	21663
575	29344	21600
576	29382	21540
577	29421	21480
578	29460	21421
579	29504	21365
580	29542	21304
581	29582	21246
582	29621	21187
583	29659	21127
584	29691	21063
585	29723	20998
586	29754	20934
587	29787	20871
588	29818	20806
589	29850	20743
590	29882	20680
591	29920	20620
592	29947	20554
593	29971	20485
594	29995	20417
595	30020	20349
596	30047	20283
597	30072	20216
598	30097	20149
599	30124	20082
600	30150	20017
601	30181	19953
602	30212	19891
603	30265	19843
604	30365	19825
605	30573	19877
606	30733	19898
607	30829	19876
608	30889	19832
609	31102	19885
610	31159	19838
611	31328	19861
612	31650	19981
613	31807	19996
614	31859	19944
615	32038	19971
616	32188	19980
617	32236	19926
618	32269	19862
619	32301	19797
620	32331	19732
621	32363	19667
622	32391	19601
623	32421	19536
624	32447	19468
625	32476	19402
626	32507	19338
627	32537	19273
628	32566	19208
629	32595	19143
630	32624	19078
631	32651	19012
632	32676	18944
633	32702	18878
634	32730	18813
635	32758	18748
636	32785	18682
637	32827	18626
638	32867	18568
639	32905	18509
640	32945	18451
641	32985	18393
642	33042	18345
643	33102	18298
644	33154	18247
645	33192	18189
646	33229	18130
647	33265	18070
648	33302	18010
649	33340	17952
650	33378	17894
651	33417	17836
652	33454	17777
653	33490	17717
654	33528	17660
655	33566	17601
656	33600	17542
657	33640	17485
658	33677	17426
659	33711	17366
660	33751	17309
661	33788	17251
662	33827	17194
663	33864	17136
664	33899	17076
665	33935	17018
666	33973	16961
667	34008	16902
668	34045	16844
669	34080	16785
670	34116	16727
671	34152	16669
672	34195	16615
673	34231	16557
674	34269	16500
675	34307	16443
676	34345	16386
677	34384	16330
678	34421	16273
679	34459	16216
680	34500	16161
681	34539	16104
682	34575	16047
683	34615	15991
684	34652	15934
685	34690	15878
686	34728	15822
687	34767	15766
688	34805	15710
689	34845	15655
690	34879	15597
691	34926	15545
692	34971	15492
693	35020	15441
694	35061	15386
695	35100	15331
696	35139	15275
697	35179	15221
698	35218	15165
699	35257	15110
700	35295	15054
701	35336	15000
702	35374	14944
703	35415	14890
704	35453	14834
705	35490	14779
706	35527	14723
707	35567	14669
708	35606	14614
709	35644	14559
710	35685	14504
711	35725	14450
712	35765	14396
713	35804	14341
714	35843	14287
715	35880	14231
716	35916	14176
717	35952	14120
718	35988	14065
719	36028	14011
720	36064	13955
721	36103	13901
722	36135	13844
723	36171	13789
724	36206	13733
725	36240	13677
726	36278	13623
727	36314	13568
728	36352	13513
729	36391	13459
730	36429	13405
731	36475	13354
732	36523	13303
733	36559	13249
734	36597	13195
735	36642	13143
736	36683	13090
737	36725	13037
738	36761	12983
739	36797	12928
740	36833	12874
741	36869	12819
742	36907	12765
743	36946	12712
744	36984	12659
745	37021	12605
746	37058	12551
747	37094	12497
748	37133	12444
749	37172	12390
750	37210	12337
751	37247	12283
752	37285	12230
753	37324	12177
754	37362	12124
755	37398	12070
756	37435	12016
757	37470	11962
758	37505	11908
759	37541	11855
760	37578	11801
761	37616	11748
762	37649	11694
763	37684	11640
764	37719	11587
765	37756	11534
766	37792	11480
767	37829	11427
768	37865	11374
769	37903	11321
770	37941	11269
771	37978	11216
772	38015	11163
773	38052	11110
774	38088	11057
775	38125	11005
776	38161	10952
777	38196	10899
778	38232	10846
779	38267	10793
780	38302	10740
781	38339	10687
782	38376	10635
783	38413	10583
784	38450	10530
785	38487	10478
786	38523	10426
787	38560	10374
788	38598	10322
789	38635	10270
790	38675	10219
791	38711	10166
792	38748	10114
793	38784	10062
794	38819	10010
795	38856	9958
796	38893	9906
797	38929	9854
798	38966	9802
799	39000	9750
800	39035	9697
801	39072	9646
802	39107	9594
803	39142	9542
804	39176	9489
805	39213	9438
806	39248	9386
807	39285	9335
808	39321	9283
809	39360	9232
810	39394	9180
811	39432	9129
812	39471	9078
813	39507	9027
814	39544	8976
815	39578	8924
816	39616	8873
817	39653	8822
818	39692	8772
819	39729	8721
820	39768	8670
821	39807	8620
822	39844	8569
823	39882	8518
824	39920	8468
825	39957	8417
826	39994	8366
827	40030	8315
828	40068	8264
829	40103	8213
830	40139	8163
831	40174	8112
832	40209	8061
833	40249	8011
834	40284	7960
835	40322	7910
836	40357	7859
837	40394	7808
838	40431	7758
839	40469	7708
840	40507	7658
841	40546	7608
842	40585	7558
843	40625	7508
844	40662	7458
845	40700	7408
846	40737	7358
847	40776	7308
848	40810	7258
849	40846	7208
850	40883	7158
851	40922	7108
852	40963	7059
853	41002	7009
854	41038	6959
855	41075	6909
856	41111	6859
857	41148	6810
858	41183	6759
859	41218	6709
860	41254	6660
861	41291	6610
862	41326	6560
863	41365	6511
864	41401	6461
865	41437	6411
866	41475	6362
867	41512	6312
868	41551	6263
869	41584	6213
870	41624	6164
871	41660	6115
872	41698	6066
873	41735	6016
874	41772	5967
875	41810	5918
876	41848	5869
877	41883	5819
878	41920	5770
879	41957	5721
880	41993	5672
881	42047	5625
882	42094	5577
883	42134	5528
884	42180	5481
885	42216	5431
886	42255	5383
887	42293	5334
888	42329	5285
889	42368	5236
890	42405	5187
891	42443	5138
892	42481	5090
893	42520	5041
894	42562	4993
895	42602	4944
896	42643	4896
897	42680	4847
898	42717	4799
899	42752	4750
900	42789	4701
901	42830	4653
902	42868	4604
903	42907	4556
904	42943	4507
905	42979	4459
906	43016	4410
907	43056	4362
908	43094	4314
909	43132	4265
910	43171	4217
911	43210	4169
912	43248	4121
913	43284	4072
914	43321	4024
915	43359	3976
916	43399	3928
917	43435	3879
918	43473	3831
919	43515	3783
920	43554	3735
921	43594	3688
922	43632	3639
923	43670	3591
924	43708	3543
925	43744	3495
926	43782	3447
927	43818	3399
928	43856	3351
929	43894	3303
930	43931	3255
931	43969	3208
932	44006	3160
933	44044	3112
934	44084	3064
935	44119	3016
936	44155	2968
937	44193	2921
938	44227	2873
939	44263	2825
940	44300	2777
941	44337	2729
942	44374	2682
943	44411	2634
944	44447	2586
945	44483	2539
946	44518	2491
947	44554	2443
948	44592	2396
949	44627	2348
950	44666	2301
951	44703	2253
952	44742	2206
953	44779	2159
954	44816	2111
955	44854	2064
956	44891	2017
957	44930	1969
958	44968	1922
959	45006	1875
960	45044	1828
961	45082	1780
962	45119	1733
963	45156	1686
964	45192	1639
965	45230	1591
966	45266	1544
967	45302	1497
968	45338	1450
969	45377	1403
970	45412	1356
971	45450	1309
972	45486	1262
973	45526	1215
974	45565	1168
975	45606	1121
976	45644	1074
977	45683	1027
978	45721	980
979	45757	933
980	45795	886
981	45829	840
982	45867	793
983	45904	746
984	45941	699
985	45981	652
986	46017	606
987	46056	559
988	46094	512
989	46129	465
990	46168	419
991	46206	372
992	46243	325
993	46281	279
994	46319	232
995	46355	186
996	46390	139
997	46425	93
998	46461	46
999	46498	0
