iter	Logloss
0	0.5039574287
1	0.4045185765
2	0.3534095312
3	0.3254089514
4	0.3080718839
5	0.2970980317
6	0.2904904081
7	0.2855996625
8	0.281442085
9	0.2787292873
10	0.2767287507
11	0.2751429897
12	0.2739331293
13	0.2730918661
14	0.2721508393
15	0.2714392003
16	0.2707530716
17	0.2701512511
18	0.2695827805
19	0.2691889063
20	0.2688197295
21	0.2685522172
22	0.2683803498
23	0.268149543
24	0.2679178663
25	0.2677118496
26	0.2675671287
27	0.2674533387
28	0.2673672135
29	0.2672218459
30	0.2670634547
31	0.2669796055
32	0.2668988103
33	0.26676416
34	0.2666990294
35	0.2666177804
36	0.2665149599
37	0.2664662102
38	0.2663627651
39	0.2662828042
40	0.2662193001
41	0.2660679466
42	0.2659522036
43	0.2658725306
44	0.2658200023
45	0.2657673894
46	0.2657105578
47	0.2656697689
48	0.2656193522
49	0.2655805214
50	0.2655263024
51	0.2654904134
52	0.26545579
53	0.2654311499
54	0.2653968863
55	0.2653489919
56	0.2653015247
57	0.2652588896
58	0.2652051433
59	0.2651617611
60	0.265125454
61	0.2650906024
62	0.2650450441
63	0.265012593
64	0.2649800165
65	0.264899934
66	0.2648518237
67	0.2648175239
68	0.2647864278
69	0.2647547815
70	0.2647209274
71	0.2646913279
72	0.2646593495
73	0.2646257293
74	0.2645949178
75	0.2645595344
76	0.2645296694
77	0.264490728
78	0.2644683078
79	0.2644318118
80	0.2643981471
81	0.264370227
82	0.2643439225
83	0.264320429
84	0.2642741711
85	0.2642487438
86	0.2642134022
87	0.264180404
88	0.2641442561
89	0.2641200044
90	0.2640988297
91	0.2640825923
92	0.2640610563
93	0.2640274067
94	0.2639965632
95	0.2639716036
96	0.2639445406
97	0.2639238126
98	0.2638848284
99	0.2638524658
100	0.2638257544
101	0.2638083664
102	0.2637746748
103	0.2637512773
104	0.2637239649
105	0.2636875009
106	0.2636526721
107	0.2636239286
108	0.263597451
109	0.263585665
110	0.263561564
111	0.2635360236
112	0.2635126033
113	0.2634826591
114	0.2634611892
115	0.2634338194
116	0.2634134994
117	0.2633777666
118	0.2633493811
119	0.2633288053
120	0.2632767661
121	0.263258757
122	0.2632314727
123	0.2632061117
124	0.2631705663
125	0.2631300474
126	0.2630957174
127	0.2630771775
128	0.2630545144
129	0.2630434315
130	0.2630156191
131	0.2629894258
132	0.2629608817
133	0.2629309856
134	0.2629138256
135	0.2628832122
136	0.2628630074
137	0.2628265038
138	0.2628091165
139	0.2627846106
140	0.2627652428
141	0.262741403
142	0.2627231713
143	0.2626973891
144	0.2626686796
145	0.2626458834
146	0.262618256
147	0.2625933075
148	0.2625610794
149	0.2625283442
150	0.2625104994
151	0.2624876616
152	0.2624649392
153	0.2624496032
154	0.2624268028
155	0.2624028068
156	0.2623792277
157	0.2623551105
158	0.2623336982
159	0.2623061483
160	0.2622801533
161	0.2622582926
162	0.2622389604
163	0.2622135684
164	0.2621979437
165	0.2621794531
166	0.2621612459
167	0.2621438311
168	0.2621241142
169	0.2621041499
170	0.2620724016
171	0.2620564258
172	0.2620331109
173	0.2620238541
174	0.2620059105
175	0.2619846273
176	0.2619661414
